mal_id,title,combined_features,url
20,Naruto,"action__adventure__fantasy martial_arts pierrot shounen tv moments before naruto uzumaki's birth, a huge demon known as the nine-tailed fox attacked konohagakure, the hidden leaf village, and wreaked havoc. in order to put an end to the demon's rampage, the leader of the village, the fourth hokage, sacrificed his life and sealed the monstrous beast inside the newborn naruto.

in the present, naruto is a hyperactive and knuckle-headed ninja growing up within konohagakure. shunned because of the demon inside him, naruto struggles to find his place in the village. his one burning desire to become the hokage and be acknowledged by the villagers who despise him. however, while his goal leads him to unbreakable bonds with lifelong friends, it also lands him in the crosshairs of many deadly foes.

[written by mal rewrite]",https://myanimelist.net/anime/20/Naruto
21,One Piece,"action__adventure__fantasy unknown toei_animation shounen tv barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree monkey d. luffy ends up aboard a ship under attack by fearsome pirates. despite being a naive-looking teenager, he is not to be underestimated. unmatched in battle, luffy is a pirate himself who resolutely pursues the coveted one piece treasure and the king of the pirates title that comes with it.

the late king of the pirates, gol d. roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. ever since then, countless powerful pirates have sailed dangerous seas for the prized one piece only to never return. although luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many.

as he faces numerous challenges with a big smile on his face, luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure.

[written by mal rewrite]",https://myanimelist.net/anime/21/One_Piece
22,Tennis no Oujisama,"sports school trans_arts shounen tv at the request of his father, tennis prodigy ryouma echizen has returned from america and is ready to take the japanese tennis scene by storm. aiming to become the best tennis player in the country, he enrolls in seishun academy—home to one of the best middle school tennis teams in japan. 

after ryouma catches the captain's eye, he finds himself playing for a spot on the starting lineup in the intra-school ranking matches despite only being a freshman. due to his age, the rest of the seishun boys' tennis team are initially reluctant to accept him, but his skill and determination convinces them to let him in.

armed with their new ""super rookie,"" seishun sets out to claim a spot in the national tournament, hoping to take the coveted title for themselves. in order to do so, the team must qualify by playing through the tokyo prefectural and kanto regionals. yet, the road ahead of them is shared by a plethora of strong schools, each playing tennis in unique ways for their own reasons. ryouma and his teammates must learn to cooperate if they want to become the champions they aspire to be.

[written by mal rewrite]",https://myanimelist.net/anime/22/Tennis_no_Oujisama
23,Ring ni Kakero 1,"sports combat_sports toei_animation shounen tv in order to fulfill their dead father's wish, the siblings takane kiku and takane ryuji aim for the champion title of the boxing arena. their sister, kiku, will act as the trainer while her brother, ryuji, will concentrate on the role of the boxer and learn the boomerang. his battle with many rivals has led to the growth and maturing of ryuji. the junior high boxing tournament has begun and ryuji will be fighting his arch-rival, kenzaki jun. the battle begins.

(source: ann)",https://myanimelist.net/anime/23/Ring_ni_Kakero_1
24,School Rumble,"comedy__romance gag_humor__love_polygon__school studio_comet shounen tv just the words ""i love you,"" and everything changes—such is the nature of the bittersweet trials of high school romance. tenma tsukamoto, a second year, is on a quest to confess her feelings to the boy she likes. kenji harima, a delinquent with a sizable reputation, is in a similar situation, as he cannot properly convey his feelings to the one he loves. between school, friends, rivalries, and hobbies, these two will find that high school romance is no walk in the park, especially as misunderstandings further complicate their plight.

school rumble is a high-octane romantic comedy full of relatable situations, as tenma and kenji both try to win the hearts of those they desire.

[written by mal rewrite]",https://myanimelist.net/anime/24/School_Rumble
25,Sunabouzu,"action__adventure__comedy__sci-fi__ecchi unknown gonzo seinen tv the great kanto desert, a sweltering wasteland of nothing but ruins and sand, is all that remains of post-apocalyptic japan. the once fair population has been left to cling to the inhospitable dunes for survival. at least, that is the case for normal people. for those who have spent a little too long in the kanto sun, the desert offers a wondrous opportunity to make a name for themselves.

one such person is the masked handyman ""sunabouzu,"" or desert punk, who has forged a legendary reputation for always finishing his jobs, no matter the nature or cost. cunning and ruthless, he has become a force of crude destruction to the other desert people. however, the ""vixen of the desert,"" junko asagiri, discovers that sunabouzu is not without his weaknesses—he is easily swayed by his insatiable lust for large-breasted desert babes. 

following their chaotic adventures through the kanto desert, sunabouzu features a bizarre cast of personalities who entertain themselves with senseless violence and perversion in a world long destroyed by their forefathers. and just like them, they have not learned a damn thing.

[written by mal rewrite]",https://myanimelist.net/anime/25/Sunabouzu
26,Texhnolyze,"avant_garde__drama__mystery__sci-fi__suspense adult_cast__organized_crime__psychological madhouse unknown tv in the dark underground city of lux, people live in fear and despair under the rule of various criminal factions. almost secluded from the surface, the gangs' only interaction with the outer world is their mining operation of ""raffia,"" which is the raison d'être of the city.

available only in lux, this rare substance is the basis of ""texhnolyze"" transplants that permit humans to replace parts of their body with cybernetic prostheses. the latter have the particularity not to trigger an immune response in their hosts and the ""class"" has the privilege to conduct research on them. this elusive organization, also in charge of the raffia production, delegates its executive authority to a group called organo led by keigo oonishi—a self-righteous man with texhnolyzed legs who is rumored to hear the ""voice of the city.""

the fragile balance of powers in lux is disturbed when a mysterious visitor named kazuho yoshii begins committing a series of crimes that puts the gangs at each other's throats. in the midst of the chaos, new actors emerge: ichise, an ex-boxer mutilated by organo and recently texhnolyzed by eriko ""doc"" kamata; and ran, a young florist who can see the future. while lux steadily plunges into insanity, both ichise and ran find themselves involved in the greatest crisis the city has ever faced.

[written by mal rewrite]",https://myanimelist.net/anime/26/Texhnolyze
27,Trinity Blood,"action__fantasy__sci-fi vampire gonzo unknown tv following armageddon, an apocalyptic war, mankind faces yet another menace: vampires. the continuous confrontations between the races have split the world into separate factions. the race of vampires, methuselah, are affiliated with the new human empire; whereas the humans, deemed terrans by the vampires, make up the vatican papal state. furthermore, extremist groups like the rosenkreuz order strive to rekindle a war, despite the factions' attempts to avoid direct conflict.

to combat terrorist organizations, the vatican has implemented the ax unit. led by cardinal caterina sforza, the ax agents investigate vampire-related disturbances with hopes that the terrans and the methuselah will one day achieve peaceful coexistence. amongst the ax unit is priest abel nightroad—a seemingly disoriented but gentle-hearted fellow who is a fierce vampire slayer on the battlefield. joining the unit as his partner is agent sister esther blanchett, a brave and gentle young nun troubled with a tragic past. 

as the two grow closer, they begin to uncover signs of malicious schemes and dark forces working in the shadows. but the path they walk is riddled with misfortune that might just force them to confront the memories that plague their hearts.

[written by mal rewrite]",https://myanimelist.net/anime/27/Trinity_Blood
28,Yakitate!! Japan,"comedy__gourmet unknown sunrise shounen tv while countries such as france, england, and germany all have their own internationally celebrated bread, japan simply does not have one that can match in reputation.

thus after discovering the wonders of breadmaking at a young age, kazuma azuma embarks on a quest to create japan's own unique national bread. and being blessed with unusually warm hands that allow dough to ferment faster, azuma is able to bring his baking innovations to another level.

as he begins working at the prestigious japanese bakery chain, pantasia, azuma encounters other talented bakers and experiences firsthand the competitive world of baking. along with his newfound friends and rivals, azuma strives to create new and unparalleled bread that will start a baking revolution. 

[written by mal rewrite]",https://myanimelist.net/anime/28/Yakitate_Japan
29,Zipang,"action__drama__sci-fi adult_cast__historical__military__time_travel studio_deen seinen tv a ripple in time turns the crucial tide of wwii.

scheduled for routine military exercises, commander kadomatsu and the crew of japan's newest and most modern battlecruiser, the mirai, are ready to test out the ship's state-of-the-art aegis system. instead, they find themselves transported back to june 4th, 1942—date of the crucial battle of midway, where the japanese fleet was dealt a crippling blow. when an overzealous kadomatsu rescues one of the battle's victims, kusaka, from a sinking zero fighter, the mirai's fate is sealed. the crew pledges not to do anything to alter the past further. however, they're now forced to fight a u.s. submarine in a battle that should never have occurred. thus setting off a chain of events that may forever change the flow of history!

(source: geneon entertainment usa, edited)",https://myanimelist.net/anime/29/Zipang
30,Shinseiki Evangelion,"action__avant_garde__award_winning__drama__sci-fi__suspense mecha__psychological gainax__tatsunoko_production unknown tv fifteen years after a cataclysmic event known as the second impact, the world faces a new threat: monstrous celestial beings called angels invade tokyo-3 one by one. mankind is unable to defend themselves against the angels despite utilizing their most advanced munitions and military tactics. the only hope for human salvation rests in the hands of nerv, a mysterious organization led by the cold gendou ikari. nerv operates giant humanoid robots dubbed ""evangelions"" to combat the angels with state-of-the-art advanced weaponry and protective barriers known as absolute terror fields.

years after being abandoned by his father, shinji ikari, gendou's 14-year-old son, returns to tokyo-3. shinji undergoes a perpetual internal battle against the deeply buried trauma caused by the loss of his mother and the emotional neglect he suffered at the hands of his father. terrified to open himself up to another, shinji's life is forever changed upon meeting 29-year-old misato katsuragi, a high-ranking nerv officer who shows him a free-spirited maternal kindness he has never experienced.

a devastating angel attack forces shinji into action as gendou reveals his true motive for inviting his son back to tokyo-3: shinji is the only child capable of efficiently piloting evangelion unit-01, a new robot that synchronizes with his biometrics. despite the brutal psychological trauma brought about by piloting an evangelion, shinji defends tokyo-3 against the angelic threat, oblivious to his father's dark machinations.

[written by mal rewrite]",https://myanimelist.net/anime/30/Shinseiki_Evangelion
31,Shinseiki Evangelion Movie: Shi to Shinsei,"action__drama__sci-fi__suspense mecha__psychological gainax__production_i.g__tatsunoko_production unknown movie in the year 2015, more than a decade has passed since the catastrophic event known as second impact befell mankind. during this time of recovery, a select few learned of beings known as the angels—colossal malevolent entities with the intention of triggering the third impact and wiping out the rest of humanity.

called into the city of tokyo-3 by his father gendou ikari, teenager shinji is thrust headlong into humanity's struggle. separated from gendou since the death of his mother, shinji presumes that his father wishes to repair their shattered familial bonds; instead, he discovers that he was brought to pilot a giant machine capable of fighting the angels, evangelion unit-01. forced to battle against wave after wave of mankind's greatest threat, the young boy finds himself caught in the middle of a plan that could affect the future of humanity forever.

[written by mal rewrite]",https://myanimelist.net/anime/31/Shinseiki_Evangelion_Movie__Shi_to_Shinsei
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni","action__avant_garde__drama__sci-fi__suspense mecha__psychological gainax__production_i.g unknown movie shinji ikari is left emotionally comatose after the death of a dear friend. with his son mentally unable to pilot the humanoid robot evangelion unit-01, gendou ikari's nerv races against the shadow organization seele to see who can enact their ultimate plan first. seele desires to create a godlike being by fusing their own souls into an evangelion unit, while gendou wishes to revert all of humanity into one primordial being so that he can be reunited with yui, his deceased wife.

seele unleashes its military forces in a lethal invasion of nerv headquarters. as seele's forces cut down nerv's scientists and security personnel, asuka langley souryuu pilots evangelion unit-02 in a desperate last stand against seele's heaviest weaponry.

the battle rages on, and a depressed shinji hides deep within nerv's headquarters. with the fate of the world resting in shinji's hands, captain misato katsuragi hunts for the teenage boy as society crumbles around them.

[written by mal rewrite]",https://myanimelist.net/anime/32/Shinseiki_Evangelion_Movie__Air_Magokoro_wo_Kimi_ni
33,Kenpuu Denki Berserk,"action__adventure__drama__fantasy__horror gore__military__psychological olm seinen tv guts, a man who will one day be known as the black swordsman, is a young traveling mercenary characterized by the large greatsword he carries. he accepts jobs that offer the most money, but he never stays with one group for long—until he encounters the band of the falcon. ambushed after completing a job, guts crushes many of its members in combat. griffith, the band of the falcon's leader and founder, takes an interest in guts and duels him. while the others are no match for guts, griffith defeats him in one blow.

incapacitated and taken into the band of the falcon's camp to recover, guts wakes up two days later. he confronts griffith, and the two duel yet again, only this time with a condition: guts will join the band of the falcon if he loses. due to his fresh injuries, guts loses the fight and is inducted by griffith.

in three years' time, guts has become one of the band of the falcon's commanders. on the battlefield, his combat prowess is second only to griffith as he takes on large groups of enemies all on his own. with guts' immense strength and griffith's leadership, the band of the falcon dominate every battle they partake in. but something menacing lurks in the shadows, threatening to change guts' life forever.

[written by mal rewrite]",https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
43,Koukaku Kidoutai,"action__award_winning__mystery__sci-fi__suspense adult_cast__detective__mecha__psychological production_i.g seinen movie in the year 2029, niihama city has become a technologically advanced metropolis. due to great improvements in cybernetics, its citizens are able to replace their limbs with robotic parts. the world is now more interconnected than ever before, and the city's public security section 9 is responsible for combating corruption, terrorism, and other dangerous threats following this shift toward globalization.

the strong-willed major motoko kusanagi of section 9 spearheads a case involving a mysterious hacker known only as the ""puppet master,"" who leaves a trail of victims stripped of their memories. like many in this futuristic world, the puppet master's body is almost entirely robotic, giving them incredible power.

as motoko and her subordinates follow the enigmatic criminal's trail, other parties—including section 6—start to get involved, forcing her to confront the extremely complicated nature of the case. pondering about various philosophical questions, such as her own life's meaning, motoko soon realizes that the one who will provide these answers is none other than the puppet master themself.

[written by mal rewrite]",https://myanimelist.net/anime/43/Koukaku_Kidoutai
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"action__drama__romance adult_cast__historical__samurai studio_deen shounen ova when mankind's savagery surpasses his fear of death, there is little hope for those who wish to live honest lives. beneath a full moon, a young boy witnesses the murder of the bandits who had enslaved him, and is then christened with a new name by the man who rescued him. this boy is shinta, now known as kenshin himura, and he is destined to become a swordsman. the softness of his heart does not befit the occupation, but his desire to protect the innocent is absolute.

rurouni kenshin: meiji kenkaku romantan - tsuioku-hen details the origins of the man who would bear the name of hitokiri battousai long before he swore his oath not to kill and before he earned his reputation as an assassin. the young man's heart is divided between justice and corruption, while the fate of a nation rests on his actions.

[written by mal rewrite]",https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"action__comedy__romance historical__samurai gallop__studio_deen shounen tv in the final years of the bakumatsu era lived a legendary assassin known as hitokiri battousai. feared as a merciless killer, he was unmatched throughout the country, but mysteriously disappeared at the peak of the japanese revolution. it has been ten peaceful years since then, but the very mention of battousai still strikes terror into the hearts of war veterans.

unbeknownst to them, battousai has abandoned his bloodstained lifestyle in an effort to repent for his sins, now living as kenshin himura, a wandering swordsman with a cheerful attitude and a strong will. vowing never to kill again, kenshin dedicates himself to protecting the weak. one day, he stumbles across kaoru kamiya at her kendo dojo, which is being threatened by an impostor claiming to be battousai. after receiving help from kenshin, kaoru allows him to stay at the dojo, and so the former assassin temporarily ceases his travels.

rurouni kenshin: meiji kenkaku romantan tells the story of kenshin as he strives to save those in need of saving. however, as enemies from both past and present begin to emerge, will the reformed killer be able to uphold his new ideals?

[written by mal rewrite]",https://myanimelist.net/anime/45/Rurouni_Kenshin__Meiji_Kenkaku_Romantan
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,"drama historical__samurai gallop shounen movie the war against the tokugawa shogunate ended years ago. but there are some who are not happy with the outcome. shigure takimi watched his friends and family get slashed down in the name of freedom and prosperity. now he and a band of desperate rebels have sworn to settle one final score. only one man stands in their way: kenshin himura. but when shigure discovers kenshin's true identity as the hitokiri battousai, his fight becomes a personal vendetta.

(source: ann)",https://myanimelist.net/anime/46/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Ishinshishi_e_no_Chinkonka
47,Akira,"action__horror__sci-fi gore__military__super_power tokyo_movie_shinsha seinen movie japan, 1988. an explosion caused by a young boy with psychic powers tears through the city of tokyo and ignites the fuse that leads to world war iii. in order to prevent any further destruction, he is captured and taken into custody, never to be heard from again. now, in the year 2019, a restored version of the city known as neo-tokyo—an area rife with gang violence and terrorism against the current government—stands in its place. here, shoutarou kaneda leads ""the capsules,"" a group of misfits known for riding large, custom motorcycles and being in constant conflict with their rivals ""the clowns.""

during one of these battles, shoutarou's best friend tetsuo shima is caught up in an accident with an esper who finds himself in the streets of tokyo after escaping confinement from a government institution. through this encounter, tetsuo begins to develop his own mysterious abilities, as the government seeks to quarantine this latest psychic in a desperate attempt to prevent him from unleashing the destructive power that could once again bring the city to its knees.

[written by mal rewrite]",https://myanimelist.net/anime/47/Akira
48,.hack//Sign,"adventure__fantasy__mystery video_game bee_train unknown tv a young wavemaster, only known by the alias of tsukasa, wakes up in an mmorpg called the world, with slight amnesia. he does not know what he has previously done before he woke up. in the world, the crimson knights suspects him of being a hacker, as he was seen accompanying a tweaked character in the form of a cat. unable to log out from the game, he wanders around looking for answers, avoiding the knights and other players he meets along the way.

as tsukasa explores the world, he stumbles upon a magical item that takes the form of a ""guardian,"" which promises him protection from all harm. subaru, the leader of the crimson knights, along with several other players who became acquainted with tsukasa, set out to investigate why tsukasa is unable to log out, and attempt to get to the bottom of the problem before it gets out of hand.

[written by mal rewrite]",https://myanimelist.net/anime/48/hack__Sign
49,Aa! Megami-sama!,"comedy__romance__supernatural unknown aic seinen ova when college student keiichi morisato dials the wrong number while ordering for some food at his dormitory, he accidentally gets connected to the goddess hotline and a beautiful goddess named belldandy appears out of a mirror in front of him. after getting kicked out of the dorm, keiichi and belldandy move to an old shrine and soon afterwards, belldandy's sisters urd and skuld move in.",https://myanimelist.net/anime/49/Aa_Megami-sama
50,Aa! Megami-sama! (TV),"comedy__romance__supernatural unknown aic seinen tv in a world where humans can have their wish granted via the goddess help hotline, a human, keiichi morisato, summons the goddess belldandy by accident and jokes that she should stay with him forever. unfortunately for him, his ""wish"" is granted.

suddenly, keiichi is now living with this gorgeous woman all alone, causing him to be kicked out of the all-male dormitory he was staying in. but soon, after they find lodging in a buddhist temple, keiichi and belldandy's relationship begins to blossom. although they are both awkward and rather uncomfortable with one another at first, what awaits these two strangers could turn out to be an unexpected romance.

[written by mal rewrite]",https://myanimelist.net/anime/50/Aa_Megami-sama_TV
51,Tenshi Kinryouku,"action__drama__romance__supernatural reincarnation hal_film_maker shoujo ova setsuna mudo is a 16-year-old high school student just trying to get by without running afoul of his bullying seniors. it doesn't help that he's in love with his younger sister, sara, who only sees him once a month. but there's more to his life than just keeping his head down.

setsuna is ambushed by mysterious beings, angels, and demons, all professing to know his true destiny. the angels say he is the reincarnation of their leader alexiel, while the demons claim he led them to war against god himself.

as setsuna struggles with his identity in such strange times, the eternal conflict between heaven and hell threatens to reignite. will he be prepared when it does?",https://myanimelist.net/anime/51/Tenshi_Kinryouku
52,Kidou Tenshi Angelic Layer,"award_winning__comedy__drama__sci-fi strategy_game bones shounen tv 12-year-old misaki suzuhara has just gotten involved in angelic layer, a battling game using electronic dolls called angels. even as a newbie, misaki shows advanced skills as she meets new friends and enters angelic layer tournaments to fight the greatest angelic layer champions of the nation.",https://myanimelist.net/anime/52/Kidou_Tenshi_Angelic_Layer
53,Ai Yori Aoshi,"comedy__drama__romance harem j.c.staff seinen tv kaoru hanabishi, a college student who lives alone, met a beautiful but bewildered girl dressed in a kimono at a train station. he volunteered to guide her way to the address she was looking for, which happened to be in his neighborhood, but turned out to be an empty lot. not knowing what to do next, kaoru invited the devastated girl to his apartment and asked for any additional clues to her destination. she supplied him with a photo of two children whom kaoru immediately identified as himself and aoi sakuraba, his childhood friend. it turned out that the girl in front of him is aoi sakuraba herself, his betrothed fiancee who came all the way to tokyo to marry him. her revelation was not only surprising but also reminded the deepest part of kaoru's memory for why he left the hanabishi family in the first place.",https://myanimelist.net/anime/53/Ai_Yori_Aoshi
54,Appleseed (Movie),"action__sci-fi mecha__military digital_frontier unknown movie growing out of the chaos of a global war, the city of utopia is populated by humans and bioroids (artificial humans). on the surface, everything is harmonious, but tensions lurk. into this seemingly perfect society comes a survivor of the wars, deunan knute, who carries a legacy that will turn out to be of critical importance to the future of humanity. 

(source: ann)",https://myanimelist.net/anime/54/Appleseed_Movie
55,Arc the Lad,"action__adventure__fantasy__horror__sci-fi unknown bee_train unknown tv the story follows elk, a bounty hunter in some strange futuristic world. on this world archaic but advanced technology exists side by side with primitive attitudes, beasts and magic. in other words it's got a bit of everything. it also has an evil conspiracy who are able to produce powerful monsters called chimera, who can also appear as human. naturally it is not long before elk has rescued a young female beast-master and gained himself some serious enemies. 

(source: ann)",https://myanimelist.net/anime/55/Arc_the_Lad
56,Avenger,"adventure__fantasy__sci-fi unknown bee_train unknown tv mars has been colonized and is a world where children have been replaced by robot servants known as ""dolls."" layla is a skilled fighter with a tragic past who travels about the world. her companions are nei, a strange and unique doll with some unknown ties to layla, and speedy, who is a doll breeder. the founders of mars see the trio as a threat to their world, and each time they attack layla and nei a bit more of their mysterious past and future is revealed.",https://myanimelist.net/anime/56/Avenger
